Ok(Profile { program: Program1, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 0.222572, time_max: 0.26063198, time_mean: 0.22702852, time_stdev: 0.01122379 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 0.49517, time_max: 0.63350403, time_mean: 0.5699255, time_stdev: 0.043324295 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 5.3560214, time_max: 8.1394205, time_mean: 6.5007463, time_stdev: 0.95243216 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 1.4755781, time_max: 2.119024, time_mean: 1.8223155, time_stdev: 0.23128341 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 6.355253, time_max: 9.809975, time_mean: 7.931653, time_stdev: 1.1646117 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 37.582912, time_max: 48.273754, time_mean: 44.84025, time_stdev: 3.1072469 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 3.747066, time_max: 4.517743, time_mean: 4.1906924, time_stdev: 0.18885884 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 29.028212, time_max: 31.243084, time_mean: 29.843777, time_stdev: 0.71890664 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 122.66019, time_max: 129.00166, time_mean: 124.784996, time_stdev: 1.7125841 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 7.550449, time_max: 8.149019, time_mean: 7.766673, time_stdev: 0.19372834 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 73.76365, time_max: 76.08792, time_mean: 74.67743, time_stdev: 0.6103528 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 254.47107, time_max: 265.7935, time_mean: 258.8773, time_stdev: 3.1155603 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 10.867364, time_max: 12.294523, time_mean: 11.6855345, time_stdev: 0.41377884 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 98.96095, time_max: 102.43915, time_mean: 99.94163, time_stdev: 1.0737683 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 532.8611, time_max: 549.5805, time_mean: 538.0013, time_stdev: 4.5715547 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 6000, col_count: 6000, element_count: 36000000, element_sum: 107982000000, time_min: 16.229313, time_max: 17.669302, time_mean: 16.955366, time_stdev: 0.41623363 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 6000, col_count: 6000, element_count: 36000000, element_sum: 107982000000, time_min: 173.55545, time_max: 178.02063, time_mean: 175.71127, time_stdev: 1.3004925 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 0.224489, time_max: 0.229458, time_mean: 0.2263339, time_stdev: 0.0017039867 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 0.432803, time_max: 0.47813502, time_mean: 0.4439443, time_stdev: 0.01257827 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 1000, col_count: 1000, element_count: 1000000, element_sum: 499500000, time_min: 5.276638, time_max: 6.960703, time_mean: 5.8653426, time_stdev: 0.55124366 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 1.62672, time_max: 2.211307, time_mean: 1.9239442, time_stdev: 0.18600297 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 6.520514, time_max: 9.141511, time_mean: 7.782916, time_stdev: 0.9398319 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 2000, col_count: 2000, element_count: 4000000, element_sum: 3998000000, time_min: 41.138966, time_max: 49.167183, time_mean: 44.255997, time_stdev: 2.8179924 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 4.106009, time_max: 4.630046, time_mean: 4.310304, time_stdev: 0.14556362 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 29.486576, time_max: 31.188677, time_mean: 30.059143, time_stdev: 0.54100484 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 3000, col_count: 3000, element_count: 9000000, element_sum: 13495500000, time_min: 127.96998, time_max: 136.21764, time_mean: 132.2435, time_stdev: 2.688576 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 7.1661987, time_max: 7.8608747, time_mean: 7.6398506, time_stdev: 0.19952917 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 75.42031, time_max: 78.10599, time_mean: 76.75409, time_stdev: 0.7826864 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 4000, col_count: 4000, element_count: 16000000, element_sum: 31992000000, time_min: 272.69974, time_max: 279.2108, time_mean: 274.56714, time_stdev: 1.8804481 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 11.464267, time_max: 12.19425, time_mean: 11.9084, time_stdev: 0.21623331 })
